Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Customer_Age_Group,Is_Returned,Month,Month_Name,Quarter,Day_of_Week,Customer_Segment
TXN00059,CUST0001,Laptops,Acer Aspire 7,1,65305.14,65305.14,2024-10-07,Pune,Net Banking,26-35,No,10,Oct,Q4,Monday,Gold
TXN00060,CUST0358,Audio & Headphones,Sony WH-1000XM5,1,28567.55,28567.55,2024-08-08,Ahmedabad,Credit Card,36-45,No,8,Aug,Q3,Thursday,Gold
TXN00061,CUST0061,Smartphones,Google Pixel 8,3,71052.49,213157.47,2024-10-04,Ahmedabad,Credit Card,36-45,No,10,Oct,Q4,Friday,Gold
TXN00062,CUST0261,Laptops,HP Envy x360,1,86308.77,86308.77,2024-10-31,Bangalore,Net Banking,46-55,No,10,Oct,Q4,Thursday,Gold
TXN00063,CUST0338,Tablets,Realme Pad 2,1,18922.13,18922.13,2024-08-10,Delhi,Credit Card,36-45,No,8,Aug,Q3,Saturday,Gold
TXN00064,CUST0398,Laptops,Acer Aspire 7,3,72020.21,216060.63,2024-07-11,Delhi,Credit Card,26-35,Yes,7,Jul,Q3,Thursday,Gold
TXN00065,CUST0052,Tablets,Lenovo Tab P12,1,34972.84,34972.84,2024-11-30,Chennai,Credit Card,36-45,No,11,Nov,Q4,Saturday,Gold
TXN00066,CUST0204,Smart Watches,Garmin Venu 3,2,37277.97,74555.94,2024-10-05,Delhi,Credit Card,26-35,No,10,Oct,Q4,Saturday,Gold
TXN00067,CUST0148,Smart Watches,Titan Smart Pro,1,6356.43,6356.43,2024-12-31,Mumbai,Debit Card,36-45,No,12,Dec,Q4,Tuesday,Gold
TXN00068,CUST0192,Laptops,ASUS VivoBook 16,1,45774.49,45774.49,2024-07-18,Pune,UPI,18-25,No,7,Jul,Q3,Thursday,Silver
TXN00069,CUST0237,Audio & Headphones,Noise Buds VS104,1,1018.13,1018.13,2024-10-02,Ahmedabad,UPI,26-35,No,10,Oct,Q4,Wednesday,Silver
TXN00070,CUST0218,Audio & Headphones,Apple AirPods Pro 2,1,24667.85,24667.85,2024-10-16,Chennai,Debit Card,46-55,No,10,Oct,Q4,Wednesday,Gold
TXN00071,CUST0338,Laptops,Acer Aspire 7,3,68812.94,206438.82,2024-07-05,Delhi,Cash on Delivery,55+,No,7,Jul,Q3,Friday,Gold
TXN00072,CUST0098,Smart Watches,boAt Wave Sigma,1,1565.13,1565.13,2024-09-26,Kolkata,UPI,46-55,No,9,Sep,Q3,Thursday,Gold
TXN00073,CUST0047,Accessories,Anker 65W GaN Charger,1,2422.6,2422.6,2024-12-09,Chennai,Debit Card,36-45,No,12,Dec,Q4,Monday,Silver
TXN00074,CUST0152,Laptops,ASUS VivoBook 16,1,45272.6,45272.6,2024-10-31,Kolkata,Credit Card,18-25,Yes,10,Oct,Q4,Thursday,Silver
TXN00075,CUST0008,Tablets,Amazon Fire HD 10,2,16120.37,32240.74,2024-05-11,Bangalore,Debit Card,26-35,No,5,May,Q2,Saturday,Silver
TXN00076,CUST0288,Audio & Headphones,boAt Rockerz 550,1,1873.73,1873.73,2024-06-07,Mumbai,Net Banking,26-35,No,6,Jun,Q2,Friday,Gold
TXN00077,CUST0050,Audio & Headphones,Apple AirPods Pro 2,2,23464.87,46929.74,2024-04-27,Delhi,Credit Card,55+,No,4,Apr,Q2,Saturday,Gold
TXN00078,CUST0144,Audio & Headphones,Bose QuietComfort 45,1,33962.7,33962.7,2024-01-17,Kolkata,Credit Card,46-55,No,1,Jan,Q1,Wednesday,Bronze
TXN00079,CUST0233,Smart Watches,Fitbit Charge 6,1,13944.39,13944.39,2024-02-17,Jaipur,Cash on Delivery,18-25,No,2,Feb,Q1,Saturday,Bronze
TXN00080,CUST0120,Accessories,Samsung 25W Adapter,2,1209.34,2418.68,2024-06-07,Delhi,UPI,55+,No,6,Jun,Q2,Friday,Bronze
TXN00081,CUST0122,Tablets,Samsung Galaxy Tab S9,1,74880.13,74880.13,2024-09-15,Mumbai,Debit Card,26-35,No,9,Sep,Q3,Sunday,Silver
TXN00082,CUST0315,Smartphones,OPPO Find X7,1,57445.51,57445.51,2024-01-22,Mumbai,Credit Card,26-35,Yes,1,Jan,Q1,Monday,Silver
TXN00083,CUST0228,Smartphones,OPPO Find X7,1,58055.17,58055.17,2024-02-07,Mumbai,Debit Card,26-35,No,2,Feb,Q1,Wednesday,Gold
TXN00084,CUST0221,Audio & Headphones,boAt Rockerz 550,1,1960.91,1960.91,2024-02-21,Delhi,Credit Card,36-45,No,2,Feb,Q1,Wednesday,Bronze
TXN00085,CUST0374,Smartphones,OPPO Find X7,1,58414.14,58414.14,2024-02-18,Kolkata,Credit Card,18-25,Yes,2,Feb,Q1,Sunday,Silver
TXN00086,CUST0285,Smartphones,Samsung Galaxy S24,1,74792.41,74792.41,2024-01-31,Pune,Debit Card,26-35,No,1,Jan,Q1,Wednesday,Silver
TXN00087,CUST0181,Accessories,Seagate 1TB HDD,1,3705.07,3705.07,2024-02-23,Jaipur,Credit Card,46-55,No,2,Feb,Q1,Friday,Silver
TXN00088,CUST0393,Audio & Headphones,Apple AirPods Pro 2,1,25946.22,25946.22,2024-11-17,Kolkata,Net Banking,46-55,No,11,Nov,Q4,Sunday,Silver
TXN00089,CUST0093,Smartphones,OnePlus 12,2,62641.05,125282.1,2024-11-29,Ahmedabad,UPI,36-45,No,11,Nov,Q4,Friday,Silver
TXN00090,CUST0167,Smart Watches,Noise ColorFit Ultra 3,1,2939.59,2939.59,2024-11-07,Mumbai,UPI,18-25,No,11,Nov,Q4,Thursday,Silver
TXN00091,CUST0111,Smart Watches,boAt Wave Sigma,1,1485.36,1485.36,2024-11-02,Chennai,Credit Card,36-45,No,11,Nov,Q4,Saturday,Silver
TXN00092,CUST0109,Smart Watches,Apple Watch Series 9,3,40026.36,120079.08,2024-11-05,Mumbai,UPI,26-35,No,11,Nov,Q4,Tuesday,Gold
TXN00093,CUST0380,Smartphones,Xiaomi 14,2,60001.52,120003.04,2024-01-22,Kolkata,UPI,36-45,No,1,Jan,Q1,Monday,Gold
TXN00094,CUST0317,Smart Watches,Amazfit GTR 4,1,12561.23,12561.23,2024-07-30,Jaipur,UPI,18-25,No,7,Jul,Q3,Tuesday,Silver
TXN00095,CUST0087,Laptops,Dell XPS 15,1,157330.64,157330.64,2024-02-08,Delhi,UPI,36-45,No,2,Feb,Q1,Thursday,Silver
TXN00096,CUST0390,Accessories,Logitech MX Keys Mini,1,8136.54,8136.54,2024-11-03,Delhi,Credit Card,26-35,No,11,Nov,Q4,Sunday,Bronze
TXN00097,CUST0227,Audio & Headphones,boAt Rockerz 550,1,2115.5,2115.5,2024-09-30,Mumbai,UPI,18-25,No,9,Sep,Q3,Monday,Gold
TXN00098,CUST0315,Smartphones,Vivo V30 Pro,1,47387.16,47387.16,2024-09-17,Kolkata,Net Banking,36-45,No,9,Sep,Q3,Tuesday,Silver
TXN00099,CUST0053,Accessories,Samsung 25W Adapter,1,1261.91,1261.91,2024-11-15,Mumbai,UPI,36-45,No,11,Nov,Q4,Friday,Gold
TXN00100,CUST0199,Smart Watches,Titan Smart Pro,1,6022.1,6022.1,2024-07-10,Bangalore,Net Banking,36-45,No,7,Jul,Q3,Wednesday,Silver
TXN00101,CUST0077,Smartphones,Google Pixel 8,1,73374.26,73374.26,2024-06-09,Hyderabad,Net Banking,55+,No,6,Jun,Q2,Sunday,Gold
TXN00102,CUST0344,Laptops,Dell XPS 15,1,155124.33,155124.33,2024-10-19,Pune,Debit Card,18-25,No,10,Oct,Q4,Saturday,Silver
TXN00103,CUST0249,Audio & Headphones,Sony WH-1000XM5,1,29330.69,29330.69,2024-04-06,Delhi,Cash on Delivery,36-45,No,4,Apr,Q2,Saturday,Silver
TXN00104,CUST0079,Audio & Headphones,Sony WH-1000XM5,2,30767.0,61534.0,2024-03-22,Hyderabad,Credit Card,18-25,No,3,Mar,Q1,Friday,Bronze
TXN00105,CUST0120,Laptops,Lenovo IdeaPad Slim 5,1,51605.37,51605.37,2024-08-26,Pune,Debit Card,46-55,No,8,Aug,Q3,Monday,Bronze
TXN00106,CUST0083,Accessories,SanDisk 256GB Pen Drive,1,1787.97,1787.97,2024-11-17,Bangalore,Credit Card,36-45,No,11,Nov,Q4,Sunday,Gold
TXN00107,CUST0083,Audio & Headphones,Apple AirPods Pro 2,1,25742.22,25742.22,2024-05-14,Mumbai,UPI,55+,No,5,May,Q2,Tuesday,Gold
TXN00108,CUST0198,Laptops,Acer Aspire 7,1,72682.47,72682.47,2024-12-30,Bangalore,UPI,46-55,No,12,Dec,Q4,Monday,Silver
TXN00109,CUST_UNKNOWN,Tablets,Lenovo Tab P12,2,32413.57,64827.14,2024-10-20,Bangalore,Net Banking,26-35,No,10,Oct,Q4,Sunday,Gold
TXN00110,CUST0215,Audio & Headphones,Noise Buds VS104,1,936.85,936.85,2024-10-02,Delhi,UPI,26-35,No,10,Oct,Q4,Wednesday,Gold
TXN00111,CUST0293,Audio & Headphones,JBL Tune 770NC,1,8278.7,8278.7,2024-07-13,Mumbai,UPI,18-25,No,7,Jul,Q3,Saturday,Gold
TXN00112,CUST0130,Audio & Headphones,Sony WH-1000XM5,1,29464.35,29464.35,2024-10-31,Hyderabad,Cash on Delivery,36-45,No,10,Oct,Q4,Thursday,Bronze
TXN00113,CUST0399,Audio & Headphones,boAt Rockerz 550,1,1881.75,1881.75,2024-10-14,Delhi,Debit Card,18-25,No,10,Oct,Q4,Monday,Bronze
TXN00114,CUST0159,Accessories,Anker 65W GaN Charger,1,2416.41,2416.41,2024-08-19,Delhi,UPI,36-45,No,8,Aug,Q3,Monday,Gold
TXN00115,CUST0205,Laptops,MacBook Air M3,1,121624.84,121624.84,2024-10-30,Mumbai,UPI,26-35,No,10,Oct,Q4,Wednesday,Gold
TXN00116,CUST0093,Accessories,Mi 10000mAh Power Bank,1,1361.59,1361.59,2024-08-31,Mumbai,Credit Card,26-35,No,8,Aug,Q3,Saturday,Silver
TXN00117,CUST0223,Laptops,HP Envy x360,1,87861.3,87861.3,2024-05-15,Kolkata,UPI,36-45,No,5,May,Q2,Wednesday,Silver
TXN00118,CUST0018,Tablets,Lenovo Tab P12,1,37534.55,37534.55,2024-03-06,Chennai,Debit Card,55+,No,3,Mar,Q1,Wednesday,Gold
TXN00119,CUST0272,Smartphones,OPPO Find X7,1,58948.58,58948.58,2024-06-23,Pune,Credit Card,18-25,No,6,Jun,Q2,Sunday,Gold
TXN00120,CUST0147,Audio & Headphones,Apple AirPods Pro 2,1,23950.92,23950.92,2024-10-17,Bangalore,Cash on Delivery,18-25,No,10,Oct,Q4,Thursday,Silver
TXN00121,CUST0364,Smart Watches,Samsung Galaxy Watch 6,3,28340.37,85021.11,2024-02-02,Lucknow,Debit Card,36-45,Yes,2,Feb,Q1,Friday,Silver
TXN00122,CUST0253,Audio & Headphones,boAt Rockerz 550,1,2001.8,2001.8,2024-01-14,Delhi,UPI,36-45,No,1,Jan,Q1,Sunday,Bronze
TXN00123,CUST0210,Smartphones,Realme GT 6,1,39347.24,39347.24,2024-11-18,Bangalore,Credit Card,26-35,No,11,Nov,Q4,Monday,Silver
TXN00124,CUST0064,Laptops,HP Pavilion 15,1,57355.44,57355.44,2024-08-20,Chennai,Net Banking,26-35,Yes,8,Aug,Q3,Tuesday,Gold
TXN00125,CUST0065,Audio & Headphones,Sennheiser Momentum 4,1,36926.68,36926.68,2024-09-28,Hyderabad,Credit Card,36-45,No,9,Sep,Q3,Saturday,Bronze
TXN00126,CUST0024,Smartphones,Vivo V30 Pro,1,47465.16,47465.16,2024-12-19,Kolkata,UPI,36-45,No,12,Dec,Q4,Thursday,Bronze
TXN00127,CUST0208,Smartphones,Realme GT 6,1,40907.18,40907.18,2024-05-25,Delhi,Debit Card,26-35,No,5,May,Q2,Saturday,Silver
TXN00128,CUST0205,Audio & Headphones,boAt Rockerz 550,1,2114.62,2114.62,2024-03-08,Lucknow,UPI,26-35,No,3,Mar,Q1,Friday,Gold
TXN00129,CUST0082,Smartphones,Samsung Galaxy S24,2,74246.82,148493.64,2024-11-16,Kolkata,Credit Card,18-25,Yes,11,Nov,Q4,Saturday,Gold
TXN00130,CUST0124,Laptops,ASUS VivoBook 16,1,42980.91,42980.91,2024-04-17,Bangalore,Credit Card,46-55,No,4,Apr,Q2,Wednesday,Gold
TXN00131,CUST0392,Laptops,MacBook Air M3,1,121282.42,121282.42,2024-07-08,Ahmedabad,Debit Card,26-35,No,7,Jul,Q3,Monday,Silver
TXN00132,CUST0061,Laptops,HP Envy x360,1,93806.38,93806.38,2024-03-07,Lucknow,Debit Card,36-45,No,3,Mar,Q1,Thursday,Gold
TXN00133,CUST0243,Smartphones,Google Pixel 8,1,75999.95,75999.95,2024-08-21,Mumbai,UPI,55+,No,8,Aug,Q3,Wednesday,Gold
TXN00134,CUST0289,Laptops,ASUS VivoBook 16,1,43643.81,43643.81,2024-05-26,Chennai,Credit Card,55+,No,5,May,Q2,Sunday,Bronze
TXN00135,CUST0297,Tablets,"iPad Pro 12.9""",1,114650.58,114650.58,2024-09-11,Hyderabad,Cash on Delivery,36-45,No,9,Sep,Q3,Wednesday,Gold
TXN00136,CUST0098,Tablets,Lenovo Tab P12,1,36800.25,36800.25,2024-01-10,Chennai,Debit Card,26-35,No,1,Jan,Q1,Wednesday,Gold
TXN00137,CUST0245,Accessories,Anker 65W GaN Charger,1,2581.28,2581.28,2024-08-23,Chennai,Cash on Delivery,26-35,No,8,Aug,Q3,Friday,Silver
TXN00138,CUST0116,Tablets,Realme Pad 2,1,18316.0,18316.0,2024-12-17,Delhi,Credit Card,36-45,No,12,Dec,Q4,Tuesday,Gold
TXN00139,CUST0203,Laptops,ASUS VivoBook 16,1,41539.02,41539.02,2024-11-17,Chennai,Net Banking,26-35,No,11,Nov,Q4,Sunday,Bronze
TXN00140,CUST0139,Laptops,HP Envy x360,1,92244.97,92244.97,2024-12-15,Delhi,Debit Card,36-45,No,12,Dec,Q4,Sunday,Silver
TXN00141,CUST0052,Smart Watches,Noise ColorFit Ultra 3,1,3065.19,3065.19,2024-10-13,Bangalore,Debit Card,18-25,No,10,Oct,Q4,Sunday,Gold
TXN00142,CUST0331,Accessories,SanDisk 256GB Pen Drive,1,1792.51,1792.51,2024-01-30,Jaipur,UPI,36-45,No,1,Jan,Q1,Tuesday,Gold
TXN00143,CUST0204,Smartphones,OnePlus 12,2,64145.02,128290.04,2024-11-10,Ahmedabad,UPI,26-35,No,11,Nov,Q4,Sunday,Gold
TXN00144,CUST0269,Laptops,Dell XPS 15,1,170967.38,170967.38,2024-08-11,Bangalore,Debit Card,18-25,No,8,Aug,Q3,Sunday,Silver
TXN00145,CUST0152,Smartphones,OPPO Find X7,1,56303.89,56303.89,2024-09-07,Mumbai,UPI,46-55,No,9,Sep,Q3,Saturday,Silver
TXN00146,CUST0128,Audio & Headphones,Apple AirPods Pro 2,1,24504.92,24504.92,2024-01-04,Lucknow,Credit Card,26-35,No,1,Jan,Q1,Thursday,Gold
TXN00147,CUST0158,Audio & Headphones,Sennheiser Momentum 4,1,35850.38,35850.38,2024-03-21,Mumbai,UPI,36-45,No,3,Mar,Q1,Thursday,Silver
TXN00148,CUST0233,Audio & Headphones,Sennheiser Momentum 4,1,34248.46,34248.46,2024-10-31,Jaipur,Credit Card,26-35,No,10,Oct,Q4,Thursday,Bronze
TXN00149,CUST0270,Smart Watches,Noise ColorFit Ultra 3,1,3124.65,3124.65,2024-07-25,Chennai,Debit Card,18-25,No,7,Jul,Q3,Thursday,Silver
TXN00150,CUST0368,Audio & Headphones,Bose QuietComfort 45,2,30272.97,60545.94,2024-09-13,Bangalore,Debit Card,26-35,No,9,Sep,Q3,Friday,Silver
TXN00151,CUST0131,Laptops,MacBook Air M3,1,115980.93,115980.93,2024-11-16,Delhi,UPI,26-35,No,11,Nov,Q4,Saturday,Gold
TXN00152,CUST0070,Accessories,Belkin MagSafe Case,1,4310.05,4310.05,2024-11-05,Delhi,UPI,55+,No,11,Nov,Q4,Tuesday,Silver
TXN00153,CUST0335,Tablets,Amazon Fire HD 10,1,14700.57,14700.57,2024-11-27,Hyderabad,Credit Card,18-25,Yes,11,Nov,Q4,Wednesday,Silver
TXN00154,CUST0195,Tablets,"iPad Pro 12.9""",1,121543.46,121543.46,2024-11-18,Pune,Credit Card,55+,No,11,Nov,Q4,Monday,Gold
TXN00155,CUST0035,Smartphones,Google Pixel 8,2,77396.45,154792.9,2024-02-22,Ahmedabad,UPI,18-25,No,2,Feb,Q1,Thursday,Gold
TXN00156,CUST0149,Laptops,Lenovo IdeaPad Slim 5,2,48304.35,96608.7,2024-04-27,Pune,UPI,36-45,No,4,Apr,Q2,Saturday,Silver
TXN00157,CUST0286,Smartphones,OnePlus 12,1,70050.16,70050.16,2024-12-19,Bangalore,UPI,26-35,No,12,Dec,Q4,Thursday,Gold
TXN00158,CUST0193,Accessories,Seagate 1TB HDD,1,3659.0,3659.0,2024-04-02,Bangalore,UPI,46-55,No,4,Apr,Q2,Tuesday,Silver
TXN00159,CUST0125,Laptops,MacBook Air M3,3,116046.9,348140.7,2024-05-06,Chennai,UPI,26-35,No,5,May,Q2,Monday,Gold
TXN00160,CUST0097,Tablets,"iPad Pro 12.9""",1,108717.49,108717.49,2024-11-14,Chennai,Net Banking,26-35,No,11,Nov,Q4,Thursday,Silver
TXN00161,CUST0387,Laptops,MacBook Air M3,1,109601.87,109601.87,2024-08-06,Pune,Debit Card,46-55,No,8,Aug,Q3,Tuesday,Silver
TXN00162,CUST0255,Tablets,Amazon Fire HD 10,1,14918.01,14918.01,2024-08-01,Delhi,UPI,26-35,No,8,Aug,Q3,Thursday,Bronze
